source;target;weight
Gundlach, Heidrun;Kamal, Nadia;6
Gupta, Rajeev;Kamal, Nadia;2
Haberer, Georg;Kamal, Nadia;7
He, Tianhua;Kamal, Nadia;2
Herrmann, Matthias H;Kamal, Nadia;2
Himmelbach, Axel;Kamal, Nadia;5
Howarth, Catherine J;Kamal, Nadia;2
Hu, Haifei;Kamal, Nadia;3
Isidro Y Sánchez, Julio;Kamal, Nadia;2
Itaya, Asuka;Kamal, Nadia;2
Jannink, Jean-Luc;Kamal, Nadia;2
Jia, Yong;Kamal, Nadia;3
Kamal, Nadia;Kaur, Rajvinder;2
Kamal, Nadia;Knauft, Manuela;3
Kamal, Nadia;Langdon, Tim;2
Kamal, Nadia;Lux, Thomas;6
Kamal, Nadia;Marmon, Sofia;2
Kamal, Nadia;Marosi, Vanda;2
Kamal, Nadia;Mayer, Klaus F X;7
Kamal, Nadia;Michel, Steve;2
Kamal, Nadia;Nandety, Raja Sekhar;2
Kamal, Nadia;Nilsen, Kirby T;2
Kamal, Nadia;Paczos-Grzęda, Edyta;2
Kamal, Nadia;Pasha, Asher;2
Kamal, Nadia;Prats, Elena;2
Kamal, Nadia;Provart, Nicholas J;2
Kamal, Nadia;Ravagnani, Adriana;2
Kamal, Nadia;Reid, Robert W;2
Kamal, Nadia;Schlueter, Jessica A;2
Kamal, Nadia;Schulman, Alan H;2
Kamal, Nadia;Sen, Taner Z;2
Kamal, Nadia;Singh, Jaswinder;2
Kamal, Nadia;Singh, Mehtab;2
Kamal, Nadia;Sirijovski, Nick;2
Kamal, Nadia;Stein, Nils;5
Kamal, Nadia;Studer, Bruno;2
Kamal, Nadia;Viitala, Sirja;2
Kamal, Nadia;Vronces, Shauna;2
Kamal, Nadia;Walkowiak, Sean;2
Kamal, Nadia;Wang, Penghao;5
Kamal, Nadia;Waters, Amanda J;2
Kamal, Nadia;Wight, Charlene P;2
Kamal, Nadia;Yan, Weikai;2
Kamal, Nadia;Yao, Eric;2
Kamal, Nadia;Zhang, Xiao-Qi;5
Kamal, Nadia;Zhou, Gaofeng;3
Kamal, Nadia;Zhou, Zhou;2
Kamal, Nadia;Tinker, Nicholas A;2
Fiedler, Jason D;Kamal, Nadia;2
Kamal, Nadia;Li, Chengdao;5
Kamal, Nadia;Maughan, Peter J;2
Kamal, Nadia;Spannagl, Manuel;8
Kamal, Nadia;Mascher, Martin;6
Bitz, Lidija;Jellen, Eric N;2
Bekele, Wubishet A;Bitz, Lidija;2
Angessa, Tefera T;Bitz, Lidija;2
Auvinen, Petri;Bitz, Lidija;2
Bitz, Lidija;Bitz, Oliver;2
Bitz, Lidija;Boyle, Brian;2
Bitz, Lidija;Canales, Francisco J;2
Bitz, Lidija;Carlson, Craig H;2
Bitz, Lidija;Chapman, Brett;2
Bitz, Lidija;Chawla, Harmeet Singh;2
Bitz, Lidija;Chen, Yutang;2
Bitz, Lidija;Copetti, Dario;2
Bitz, Lidija;Correia de Lemos, Samara;2
Bitz, Lidija;Dang, Viet;2
Bitz, Lidija;Eichten, Steven R;2
Bitz, Lidija;Klos, Kathy Esvelt;2
Bitz, Lidija;Fenn, Amit M;2
Bitz, Lidija;Fiebig, Anne;2
Bitz, Lidija;Fu, Yong-Bi;2
Bitz, Lidija;Gundlach, Heidrun;2
Bitz, Lidija;Gupta, Rajeev;2
Bitz, Lidija;Haberer, Georg;2
Bitz, Lidija;He, Tianhua;2
Bitz, Lidija;Herrmann, Matthias H;2
Bitz, Lidija;Himmelbach, Axel;2
Bitz, Lidija;Howarth, Catherine J;2
Bitz, Lidija;Hu, Haifei;2
Bitz, Lidija;Isidro Y Sánchez, Julio;2
Bitz, Lidija;Itaya, Asuka;2
Bitz, Lidija;Jannink, Jean-Luc;2
Bitz, Lidija;Jia, Yong;2
Bitz, Lidija;Kaur, Rajvinder;2
Bitz, Lidija;Knauft, Manuela;2
Bitz, Lidija;Langdon, Tim;2
Bitz, Lidija;Lux, Thomas;2
Bitz, Lidija;Marmon, Sofia;2
Bitz, Lidija;Marosi, Vanda;2
Bitz, Lidija;Mayer, Klaus F X;2
Bitz, Lidija;Michel, Steve;2
Bitz, Lidija;Nandety, Raja Sekhar;2
Bitz, Lidija;Nilsen, Kirby T;2
Bitz, Lidija;Paczos-Grzęda, Edyta;2
Bitz, Lidija;Pasha, Asher;2
Bitz, Lidija;Prats, Elena;2
Bitz, Lidija;Provart, Nicholas J;2
Bitz, Lidija;Ravagnani, Adriana;2
Bitz, Lidija;Reid, Robert W;2
Bitz, Lidija;Schlueter, Jessica A;2
Bitz, Lidija;Schulman, Alan H;2
Bitz, Lidija;Sen, Taner Z;2
Bitz, Lidija;Singh, Jaswinder;2
Bitz, Lidija;Singh, Mehtab;2
Bitz, Lidija;Sirijovski, Nick;2
Bitz, Lidija;Stein, Nils;2
Bitz, Lidija;Studer, Bruno;2
Bitz, Lidija;Viitala, Sirja;2
Bitz, Lidija;Vronces, Shauna;2
Bitz, Lidija;Walkowiak, Sean;2
Bitz, Lidija;Wang, Penghao;2
Bitz, Lidija;Waters, Amanda J;2
Bitz, Lidija;Wight, Charlene P;2
Bitz, Lidija;Yan, Weikai;2
Bitz, Lidija;Yao, Eric;2
Bitz, Lidija;Zhang, Xiao-Qi;2
Bitz, Lidija;Zhou, Gaofeng;2
Bitz, Lidija;Zhou, Zhou;2
Bitz, Lidija;Tinker, Nicholas A;2
Bitz, Lidija;Fiedler, Jason D;2
Bitz, Lidija;Li, Chengdao;2
Bitz, Lidija;Maughan, Peter J;2
Bitz, Lidija;Spannagl, Manuel;2
Bitz, Lidija;Mascher, Martin;2
Bekele, Wubishet A;Jellen, Eric N;2
Angessa, Tefera T;Jellen, Eric N;2
Auvinen, Petri;Jellen, Eric N;2
Bitz, Oliver;Jellen, Eric N;2
Boyle, Brian;Jellen, Eric N;2
Canales, Francisco J;Jellen, Eric N;2
Carlson, Craig H;Jellen, Eric N;2
Chapman, Brett;Jellen, Eric N;2
Chawla, Harmeet Singh;Jellen, Eric N;2
Chen, Yutang;Jellen, Eric N;2
Copetti, Dario;Jellen, Eric N;2
Correia de Lemos, Samara;Jellen, Eric N;2
Dang, Viet;Jellen, Eric N;2
Eichten, Steven R;Jellen, Eric N;2
Jellen, Eric N;Klos, Kathy Esvelt;2
Fenn, Amit M;Jellen, Eric N;2
Fiebig, Anne;Jellen, Eric N;2
Fu, Yong-Bi;Jellen, Eric N;2
Gundlach, Heidrun;Jellen, Eric N;2
Gupta, Rajeev;Jellen, Eric N;2
Haberer, Georg;Jellen, Eric N;2
He, Tianhua;Jellen, Eric N;2
Herrmann, Matthias H;Jellen, Eric N;2
Himmelbach, Axel;Jellen, Eric N;2
Howarth, Catherine J;Jellen, Eric N;2
Hu, Haifei;Jellen, Eric N;2
Isidro Y Sánchez, Julio;Jellen, Eric N;2
Itaya, Asuka;Jellen, Eric N;2
Jannink, Jean-Luc;Jellen, Eric N;2
Jellen, Eric N;Jia, Yong;2
Jellen, Eric N;Kaur, Rajvinder;2
Jellen, Eric N;Knauft, Manuela;2
Jellen, Eric N;Langdon, Tim;2
Jellen, Eric N;Lux, Thomas;2
Jellen, Eric N;Marmon, Sofia;2
Jellen, Eric N;Marosi, Vanda;2
Jellen, Eric N;Mayer, Klaus F X;2
Jellen, Eric N;Michel, Steve;2
Jellen, Eric N;Nandety, Raja Sekhar;2
Jellen, Eric N;Nilsen, Kirby T;2
Jellen, Eric N;Paczos-Grzęda, Edyta;2
Jellen, Eric N;Pasha, Asher;2
Jellen, Eric N;Prats, Elena;2
Jellen, Eric N;Provart, Nicholas J;2
Jellen, Eric N;Ravagnani, Adriana;2
Jellen, Eric N;Reid, Robert W;2
Jellen, Eric N;Schlueter, Jessica A;2
Jellen, Eric N;Schulman, Alan H;2
Jellen, Eric N;Sen, Taner Z;2
Jellen, Eric N;Singh, Jaswinder;2
Jellen, Eric N;Singh, Mehtab;2
Jellen, Eric N;Sirijovski, Nick;2
Jellen, Eric N;Stein, Nils;2
Jellen, Eric N;Studer, Bruno;2
Jellen, Eric N;Viitala, Sirja;2
Jellen, Eric N;Vronces, Shauna;2
Jellen, Eric N;Walkowiak, Sean;2
Jellen, Eric N;Wang, Penghao;2
Jellen, Eric N;Waters, Amanda J;2
Jellen, Eric N;Wight, Charlene P;2
