source;target;weight
Stein Nils;Zhang Xiao-Qi;5
Stein Nils;Zhou Gaofeng;3
Li Chengdao;Stein Nils;5
Spannagl Manuel;Stein Nils;11
Mascher Martin;Stein Nils;12
Spannagl Manuel;Walkowiak Sean;3
Mascher Martin;Walkowiak Sean;3
Wang Penghao;Zhang Xiao-Qi;5
Wang Penghao;Zhou Gaofeng;3
Li Chengdao;Wang Penghao;5
Spannagl Manuel;Wang Penghao;5
Mascher Martin;Wang Penghao;5
Waters Amanda J;Wight Charlene P;3
Waters Amanda J;Yao Eric;3
Wight Charlene P;Yao Eric;4
Tinker Nicholas A;Wight Charlene P;3
Tinker Nicholas A;Yao Eric;3
Zhang Xiao-Qi;Zhou Gaofeng;3
Li Chengdao;Zhang Xiao-Qi;6
Spannagl Manuel;Zhang Xiao-Qi;5
Mascher Martin;Zhang Xiao-Qi;5
Li Chengdao;Zhou Gaofeng;3
Spannagl Manuel;Zhou Gaofeng;3
Mascher Martin;Zhou Gaofeng;3
Li Chengdao;Spannagl Manuel;5
Li Chengdao;Mascher Martin;5
Mascher Martin;Spannagl Manuel;11
Fang Lingzhao;Liu George E;3
Friedrich Anne;Schacherer Joseph;6
Tomlinson Chad;Wang Ting;3
Li Daofeng;Wang Ting;4
Chang Xian;Novak Adam M;8
Chang Xian;Eizenga Jordan M;6
Eizenga Jordan M;Novak Adam M;9
Novak Adam M;Sirén Jouni;9
Monlong Jean;Novak Adam M;9
Hickey Glenn;Novak Adam M;12
Carroll Andrew;Novak Adam M;6
Novak Adam M;Shafin Kishwar;3
Chang Pi-Chuan;Novak Adam M;6
Novak Adam M;Paten Benedict;14
Eizenga Jordan M;Sirén Jouni;7
Eizenga Jordan M;Monlong Jean;7
Eizenga Jordan M;Hickey Glenn;8
Carroll Andrew;Eizenga Jordan M;5
Chang Pi-Chuan;Eizenga Jordan M;5
Eizenga Jordan M;Paten Benedict;10
Batley Jacqueline;Edwards David;31
Chaichana Nattarika;Suwannasin Sirikan;3
Chaichana Nattarika;Singkhamanan Kamonnut;3
Chaichana Nattarika;Wonglapsuwan Monwadee;3
Chaichana Nattarika;Pomwised Rattanaruji;3
Chaichana Nattarika;Surachat Komwit;3
Singkhamanan Kamonnut;Suwannasin Sirikan;4
Suwannasin Sirikan;Wonglapsuwan Monwadee;3
Pomwised Rattanaruji;Suwannasin Sirikan;3
Surachat Komwit;Suwannasin Sirikan;4
Singkhamanan Kamonnut;Wonglapsuwan Monwadee;4
Pomwised Rattanaruji;Singkhamanan Kamonnut;3
Singkhamanan Kamonnut;Surachat Komwit;5
Pomwised Rattanaruji;Wonglapsuwan Monwadee;3
Surachat Komwit;Wonglapsuwan Monwadee;6
Pomwised Rattanaruji;Surachat Komwit;4
Lee Jung-Sook;Yoon Jung-Hoon;3
Lee Jung-Sook;Sukhoom Ampaitip;3
Kim Wonyong;Lee Jung-Sook;3
Sukhoom Ampaitip;Yoon Jung-Hoon;3
Kim Wonyong;Yoon Jung-Hoon;3
Kim Wonyong;Sukhoom Ampaitip;3
Liu Ze;Wang Yu;3
Li Wei;Liu Ze;3
Liu Ze;Xing Longsheng;3
Du Huilong;Liu Ze;3
He Qiang;Liu Ze;3
Li Wei;Wang Yu;4
Wang Yu;Xing Longsheng;3
Du Huilong;Wang Yu;4
He Qiang;Wang Yu;4
He Qiang;Li Tao;3
Li Wei;Xing Longsheng;3
Du Huilong;Li Wei;4
He Qiang;Li Wei;4
Du Huilong;Xing Longsheng;3
He Qiang;Xing Longsheng;3
Du Huilong;He Qiang;6
Golicz Agnieszka A;Snowdon Rod J;4
Zhang Hao;Zhang Zhewen;3
Xiao Jingfa;Zhang Hao;3
Xiao Jingfa;Zhang Zhewen;6
Langmead Ben;Shivakumar Vikram S;7
Blankenship Heather M;Manning Shannon D;3
Su Jing;Yu Li-Yan;5
Su Jing;Zhang Yu-Qin;5
Yu Li-Yan;Zhang Yu-Qin;5
Grover Corrinne E;Wendel Jonathan F;4
Yan Jianbing;Yang Ning;3
Zhang Wei;Zhou Lu;3
Tan Zhongming;Zhou Lu;3
Tan Zhongming;Zhang Wei;4
Sadaqat Muhammad;Tahir Ul Qamar Muhammad;6
Hu Haifei;Zhao Junliang;7
Cao Shengliang;Li Yubao;3
Fritz Sébastien;Sorin Valentin;3
Boichard Didier;Sorin Valentin;3
Boussaha Mekki;Sorin Valentin;3
Fritz Sébastien;Grohs Cécile;3
Eché Camille;Grohs Cécile;3
Donnadieu Cécile;Grohs Cécile;3
Gaspin Christine;Grohs Cécile;3
Grohs Cécile;Iampietro Carole;3
Grohs Cécile;Milan Denis;3
Boichard Didier;Grohs Cécile;4
Grohs Cécile;Klopp Christophe;4
Boussaha Mekki;Grohs Cécile;4
Boichard Didier;Fritz Sébastien;4
Fritz Sébastien;Klopp Christophe;3
